country,observations,first_year,last_year
Afghanistan,34,1990,2023
Albania,34,1990,2023
Algeria,34,1990,2023
Andorra,34,1990,2023
Angola,34,1990,2023
Antigua and Barbuda,34,1990,2023
Arab States,34,1990,2023
Argentina,34,1990,2023
Armenia,34,1990,2023
Australia,34,1990,2023
Austria,34,1990,2023
Azerbaijan,34,1990,2023
Bahamas,34,1990,2023
Bahrain,34,1990,2023
Bangladesh,34,1990,2023
Barbados,34,1990,2023
Belarus,34,1990,2023
Belgium,34,1990,2023
Belize,34,1990,2023
Benin,34,1990,2023
Bhutan,34,1990,2023
Bolivia (Plurinational State of),34,1990,2023
Bosnia and Herzegovina,34,1990,2023
Botswana,34,1990,2023
Brazil,34,1990,2023
Brunei Darussalam,34,1990,2023
Bulgaria,34,1990,2023
Burkina Faso,34,1990,2023
Burundi,34,1990,2023
Cabo Verde,34,1990,2023
Cambodia,34,1990,2023
Cameroon,34,1990,2023
Canada,34,1990,2023
Central African Republic,34,1990,2023
Chad,34,1990,2023
Chile,34,1990,2023
China,34,1990,2023
Colombia,34,1990,2023
Comoros,34,1990,2023
Congo,34,1990,2023
Congo (Democratic Republic of the),34,1990,2023
Costa Rica,34,1990,2023
Croatia,34,1990,2023
Cuba,34,1990,2023
Cyprus,34,1990,2023
Czechia,34,1990,2023
Côte d'Ivoire,34,1990,2023
Denmark,34,1990,2023
Djibouti,34,1990,2023
Dominica,34,1990,2023
Dominican Republic,34,1990,2023
East Asia and the Pacific,34,1990,2023
Ecuador,34,1990,2023
Egypt,34,1990,2023
El Salvador,34,1990,2023
Equatorial Guinea,34,1990,2023
Eritrea,34,1990,2023
Estonia,34,1990,2023
Eswatini (Kingdom of),34,1990,2023
Ethiopia,34,1990,2023
Europe and Central Asia,34,1990,2023
Fiji,34,1990,2023
Finland,34,1990,2023
France,34,1990,2023
Gabon,34,1990,2023
Gambia,34,1990,2023
Georgia,34,1990,2023
Germany,34,1990,2023
Ghana,34,1990,2023
Greece,34,1990,2023
Grenada,34,1990,2023
Guatemala,34,1990,2023
Guinea,34,1990,2023
Guinea-Bissau,34,1990,2023
Guyana,34,1990,2023
Haiti,34,1990,2023
High human development,34,1990,2023
Honduras,34,1990,2023
"Hong Kong, China (SAR)",34,1990,2023
Hungary,34,1990,2023
Iceland,34,1990,2023
India,34,1990,2023
Indonesia,34,1990,2023
Iran (Islamic Republic of),34,1990,2023
Iraq,34,1990,2023
Ireland,34,1990,2023
Israel,34,1990,2023
Italy,34,1990,2023
Jamaica,34,1990,2023
Japan,34,1990,2023
Jordan,34,1990,2023
Kazakhstan,34,1990,2023
Kenya,34,1990,2023
Kiribati,34,1990,2023
Korea (Democratic People's Rep. of),34,1990,2023
Korea (Republic of),34,1990,2023
Kuwait,34,1990,2023
Kyrgyzstan,34,1990,2023
Lao People's Democratic Republic,34,1990,2023
Latin America and the Caribbean,34,1990,2023
Latvia,34,1990,2023
Lebanon,34,1990,2023
Lesotho,34,1990,2023
Liberia,34,1990,2023
Libya,34,1990,2023
Liechtenstein,34,1990,2023
Lithuania,34,1990,2023
Low human development,34,1990,2023
Luxembourg,34,1990,2023
Madagascar,34,1990,2023
Malawi,34,1990,2023
Malaysia,34,1990,2023
Maldives,34,1990,2023
Mali,34,1990,2023
Malta,34,1990,2023
Marshall Islands,34,1990,2023
Mauritania,34,1990,2023
Mauritius,34,1990,2023
Medium human development,34,1990,2023
Mexico,34,1990,2023
Micronesia (Federated States of),34,1990,2023
Moldova (Republic of),34,1990,2023
Monaco,34,1990,2023
Mongolia,34,1990,2023
Montenegro,34,1990,2023
Morocco,34,1990,2023
Mozambique,34,1990,2023
Myanmar,34,1990,2023
Namibia,34,1990,2023
Nauru,34,1990,2023
Nepal,34,1990,2023
Netherlands,34,1990,2023
New Zealand,34,1990,2023
Nicaragua,34,1990,2023
Niger,34,1990,2023
Nigeria,34,1990,2023
North Macedonia,34,1990,2023
Norway,34,1990,2023
Oman,34,1990,2023
Pakistan,34,1990,2023
Palau,34,1990,2023
"Palestine, State of",34,1990,2023
Panama,34,1990,2023
Papua New Guinea,34,1990,2023
Paraguay,34,1990,2023
Peru,34,1990,2023
Philippines,34,1990,2023
Poland,34,1990,2023
Portugal,34,1990,2023
Qatar,34,1990,2023
Romania,34,1990,2023
Russian Federation,34,1990,2023
Rwanda,34,1990,2023
Saint Kitts and Nevis,34,1990,2023
Saint Lucia,34,1990,2023
Saint Vincent and the Grenadines,34,1990,2023
Samoa,34,1990,2023
San Marino,34,1990,2023
Sao Tome and Principe,34,1990,2023
Saudi Arabia,34,1990,2023
Senegal,34,1990,2023
Serbia,34,1990,2023
Seychelles,34,1990,2023
Sierra Leone,34,1990,2023
Singapore,34,1990,2023
Slovakia,34,1990,2023
Slovenia,34,1990,2023
Solomon Islands,34,1990,2023
Somalia,34,1990,2023
South Africa,34,1990,2023
South Asia,34,1990,2023
South Sudan,34,1990,2023
Spain,34,1990,2023
Sri Lanka,34,1990,2023
Sub-Saharan Africa,34,1990,2023
Sudan,34,1990,2023
Suriname,34,1990,2023
Sweden,34,1990,2023
Switzerland,34,1990,2023
Syrian Arab Republic,34,1990,2023
Tajikistan,34,1990,2023
Tanzania (United Republic of),34,1990,2023
Thailand,34,1990,2023
Timor-Leste,34,1990,2023
Togo,34,1990,2023
Tonga,34,1990,2023
Trinidad and Tobago,34,1990,2023
Tunisia,34,1990,2023
Turkmenistan,34,1990,2023
Tuvalu,34,1990,2023
Türkiye,34,1990,2023
Uganda,34,1990,2023
Ukraine,34,1990,2023
United Arab Emirates,34,1990,2023
United Kingdom,34,1990,2023
United States,34,1990,2023
Uruguay,34,1990,2023
Uzbekistan,34,1990,2023
Vanuatu,34,1990,2023
Venezuela (Bolivarian Republic of),34,1990,2023
Very high human development,34,1990,2023
Viet Nam,34,1990,2023
World,34,1990,2023
Yemen,34,1990,2023
Zambia,34,1990,2023
Zimbabwe,34,1990,2023
