,HDI_2023,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_per_Capita,CO2_per_capita,Innovation_Score_Mean,Innovation_Best_Rank,generation_twh,generation_share_pct,generation_kwh_per_capita
HDI_2023,1.0,0.9062098061024898,0.8907317944549058,0.9123562242599436,0.7838261937284424,0.5371832274320172,0.8326068233485732,-0.4248070943005629,,,
Life_Expectancy,0.9062098061024898,1.0,0.7655974333175273,0.7433493312152215,0.7448750749897578,0.4795663196647399,0.8043977575597112,-0.47093536396187907,,,
Expected_Schooling,0.8907317944549058,0.7655974333175273,1.0,0.7764274166191312,0.6434609026724195,0.40292776301708483,0.7431283107062923,-0.3731410567196865,,,
Mean_Schooling,0.9123562242599436,0.7433493312152215,0.7764274166191312,1.0,0.6575165793502197,0.4664018388219781,0.7085571674143605,-0.3437365349283297,,,
GNI_per_Capita,0.7838261937284424,0.7448750749897578,0.6434609026724195,0.6575165793502197,1.0,0.5614049984807462,0.799194896986461,-0.39991377377346476,,,
CO2_per_capita,0.5371832274320172,0.4795663196647399,0.40292776301708483,0.4664018388219781,0.5614049984807462,1.0,0.38332371675213467,-0.2174629600578196,,,
Innovation_Score_Mean,0.8326068233485732,0.8043977575597112,0.7431283107062923,0.7085571674143605,0.799194896986461,0.38332371675213467,1.0,-0.5839317118843974,,,
Innovation_Best_Rank,-0.4248070943005629,-0.47093536396187907,-0.3731410567196865,-0.3437365349283297,-0.39991377377346476,-0.2174629600578196,-0.5839317118843974,1.0,,,
generation_twh,,,,,,,,,,,
generation_share_pct,,,,,,,,,,,
generation_kwh_per_capita,,,,,,,,,,,
